# mode    freq(cm-1)    alpha    beta2    activity
001   532.99575  -4.3869514  38.6712199  1136.7389384
002   423.64409   0.0065104  37.8034858  264.6263081
003   423.64409  -0.0066172  37.8034907  264.6264055
