 #  energy  x  y  z  sp  sm
         0.1360         1.8398         1.5854         1.0000         1.7175         1.7172
         0.1373         1.8399         1.5856         1.0000         1.7176         1.7173
         0.1387         1.8401         1.5857         1.0000         1.7177         1.7175
         0.1400         1.8402         1.5858         1.0000         1.7179         1.7176
         0.1413         1.8404         1.5859         1.0000         1.7180         1.7177
         0.1427         1.8405         1.5860         1.0000         1.7181         1.7179
         0.1440         1.8407         1.5862         1.0000         1.7183         1.7180
         0.1453         1.8408         1.5863         1.0000         1.7184         1.7181
         0.1467         1.8410         1.5864         1.0000         1.7185         1.7183
         0.1480         1.8411         1.5865         1.0000         1.7187         1.7184
         0.1493         1.8412         1.5866         1.0000         1.7188         1.7185
         0.1507         1.8414         1.5867         1.0000         1.7189         1.7187
         0.1520         1.8415         1.5869         1.0000         1.7191         1.7188
         0.1533         1.8417         1.5870         1.0000         1.7192         1.7189
         0.1547         1.8418         1.5871         1.0000         1.7193         1.7191
         0.1560         1.8420         1.5872         1.0000         1.7195         1.7192
         0.1573         1.8421         1.5873         1.0000         1.7196         1.7193
         0.1587         1.8423         1.5875         1.0000         1.7197         1.7195
         0.1600         1.8424         1.5876         1.0000         1.7199         1.7196
         0.1613         1.8426         1.5877         1.0000         1.7200         1.7197
         0.1627         1.8427         1.5878         1.0000         1.7201         1.7199
         0.1640         1.8429         1.5879         1.0000         1.7203         1.7200
         0.1653         1.8430         1.5881         1.0000         1.7204         1.7201
         0.1667         1.8432         1.5882         1.0000         1.7205         1.7203
         0.1680         1.8433         1.5883         1.0000         1.7207         1.7204
         0.1693         1.8435         1.5884         1.0000         1.7208         1.7205
         0.1707         1.8436         1.5885         1.0000         1.7209         1.7207
         0.1720         1.8437         1.5887         1.0000         1.7211         1.7208
         0.1733         1.8439         1.5888         1.0000         1.7212         1.7209
         0.1747         1.8440         1.5889         1.0000         1.7213         1.7211
         0.1760         1.8442         1.5890         1.0000         1.7215         1.7212
         0.1773         1.8443         1.5891         1.0000         1.7216         1.7213
         0.1787         1.8445         1.5893         1.0000         1.7217         1.7215
         0.1800         1.8446         1.5894         1.0000         1.7219         1.7216
         0.1813         1.8448         1.5895         1.0000         1.7220         1.7217
         0.1827         1.8449         1.5896         1.0000         1.7222         1.7219
         0.1840         1.8451         1.5897         1.0000         1.7223         1.7220
         0.1853         1.8452         1.5899         1.0000         1.7224         1.7222
         0.1867         1.8454         1.5900         1.0000         1.7226         1.7223
         0.1880         1.8455         1.5901         1.0000         1.7227         1.7224
         0.1893         1.8457         1.5902         1.0000         1.7228         1.7226
         0.1907         1.8458         1.5904         1.0000         1.7230         1.7227
         0.1920         1.8460         1.5905         1.0000         1.7231         1.7228
         0.1933         1.8461         1.5906         1.0000         1.7232         1.7230
         0.1947         1.8463         1.5907         1.0000         1.7234         1.7231
         0.1960         1.8464         1.5908         1.0000         1.7235         1.7232
         0.1973         1.8466         1.5910         1.0000         1.7236         1.7234
         0.1987         1.8467         1.5911         1.0000         1.7238         1.7235
         0.2000         1.8469         1.5912         1.0000         1.7239         1.7236
         0.2013         1.8470         1.5913         1.0000         1.7241         1.7238
         0.2027         1.8472         1.5914         1.0000         1.7242         1.7239
         0.2040         1.8473         1.5916         1.0000         1.7243         1.7241
         0.2053         1.8475         1.5917         1.0000         1.7245         1.7242
         0.2067         1.8476         1.5918         1.0000         1.7246         1.7243
         0.2080         1.8478         1.5919         1.0000         1.7247         1.7245
         0.2093         1.8479         1.5921         1.0000         1.7249         1.7246
         0.2107         1.8481         1.5922         1.0000         1.7250         1.7247
         0.2120         1.8482         1.5923         1.0000         1.7251         1.7249
         0.2133         1.8484         1.5924         1.0000         1.7253         1.7250
         0.2147         1.8485         1.5925         1.0000         1.7254         1.7251
         0.2160         1.8487         1.5927         1.0000         1.7256         1.7253
         0.2173         1.8488         1.5928         1.0000         1.7257         1.7254
         0.2187         1.8490         1.5929         1.0000         1.7258         1.7256
         0.2200         1.8491         1.5930         1.0000         1.7260         1.7257
         0.2213         1.8493         1.5932         1.0000         1.7261         1.7258
         0.2227         1.8494         1.5933         1.0000         1.7262         1.7260
         0.2240         1.8496         1.5934         1.0000         1.7264         1.7261
         0.2253         1.8497         1.5935         1.0000         1.7265         1.7262
         0.2267         1.8499         1.5936         1.0000         1.7266         1.7264
         0.2280         1.8500         1.5938         1.0000         1.7268         1.7265
         0.2293         1.8502         1.5939         1.0000         1.7269         1.7266
         0.2307         1.8503         1.5940         1.0000         1.7271         1.7268
         0.2320         1.8505         1.5941         1.0000         1.7272         1.7269
         0.2333         1.8506         1.5943         1.0000         1.7273         1.7271
         0.2347         1.8508         1.5944         1.0000         1.7275         1.7272
         0.2360         1.8509         1.5945         1.0000         1.7276         1.7273
         0.2373         1.8511         1.5946         1.0000         1.7277         1.7275
         0.2387         1.8512         1.5947         1.0000         1.7279         1.7276
         0.2400         1.8514         1.5949         1.0000         1.7280         1.7277
