 #  energy  x  y  z  sp  sm
         0.1360         2.3839         1.8840         1.0000         2.1482         2.1489
         0.1373         2.3842         1.8843         1.0000         2.1485         2.1492
         0.1387         2.3845         1.8845         1.0000         2.1488         2.1495
         0.1400         2.3849         1.8848         1.0000         2.1490         2.1498
         0.1413         2.3852         1.8851         1.0000         2.1493         2.1501
         0.1427         2.3855         1.8853         1.0000         2.1496         2.1504
         0.1440         2.3858         1.8856         1.0000         2.1499         2.1507
         0.1453         2.3862         1.8858         1.0000         2.1502         2.1510
         0.1467         2.3865         1.8861         1.0000         2.1505         2.1513
         0.1480         2.3868         1.8863         1.0000         2.1508         2.1516
         0.1493         2.3872         1.8866         1.0000         2.1511         2.1519
         0.1507         2.3875         1.8868         1.0000         2.1514         2.1522
         0.1520         2.3878         1.8871         1.0000         2.1517         2.1525
         0.1533         2.3882         1.8874         1.0000         2.1520         2.1528
         0.1547         2.3885         1.8876         1.0000         2.1523         2.1531
         0.1560         2.3888         1.8879         1.0000         2.1526         2.1534
         0.1573         2.3892         1.8881         1.0000         2.1529         2.1537
         0.1587         2.3895         1.8884         1.0000         2.1532         2.1540
         0.1600         2.3898         1.8886         1.0000         2.1535         2.1542
         0.1613         2.3902         1.8889         1.0000         2.1538         2.1545
         0.1627         2.3905         1.8892         1.0000         2.1541         2.1548
         0.1640         2.3908         1.8894         1.0000         2.1544         2.1551
         0.1653         2.3912         1.8897         1.0000         2.1547         2.1554
         0.1667         2.3915         1.8899         1.0000         2.1550         2.1557
         0.1680         2.3919         1.8902         1.0000         2.1553         2.1560
         0.1693         2.3922         1.8904         1.0000         2.1556         2.1563
         0.1707         2.3925         1.8907         1.0000         2.1559         2.1566
         0.1720         2.3929         1.8910         1.0000         2.1562         2.1570
         0.1733         2.3932         1.8912         1.0000         2.1565         2.1573
         0.1747         2.3935         1.8915         1.0000         2.1568         2.1576
         0.1760         2.3939         1.8917         1.0000         2.1571         2.1579
         0.1773         2.3942         1.8920         1.0000         2.1574         2.1582
         0.1787         2.3945         1.8923         1.0000         2.1577         2.1585
         0.1800         2.3949         1.8925         1.0000         2.1580         2.1588
         0.1813         2.3952         1.8928         1.0000         2.1583         2.1591
         0.1827         2.3956         1.8930         1.0000         2.1586         2.1594
         0.1840         2.3959         1.8933         1.0000         2.1589         2.1597
         0.1853         2.3962         1.8936         1.0000         2.1592         2.1600
         0.1867         2.3966         1.8938         1.0000         2.1595         2.1603
         0.1880         2.3969         1.8941         1.0000         2.1598         2.1606
         0.1893         2.3973         1.8943         1.0000         2.1601         2.1609
         0.1907         2.3976         1.8946         1.0000         2.1604         2.1612
         0.1920         2.3979         1.8949         1.0000         2.1607         2.1615
         0.1933         2.3983         1.8951         1.0000         2.1610         2.1618
         0.1947         2.3986         1.8954         1.0000         2.1613         2.1621
         0.1960         2.3990         1.8957         1.0000         2.1616         2.1624
         0.1973         2.3993         1.8959         1.0000         2.1619         2.1627
         0.1987         2.3996         1.8962         1.0000         2.1622         2.1630
         0.2000         2.4000         1.8964         1.0000         2.1625         2.1633
         0.2013         2.4003         1.8967         1.0000         2.1628         2.1636
         0.2027         2.4007         1.8970         1.0000         2.1631         2.1639
         0.2040         2.4010         1.8972         1.0000         2.1634         2.1642
         0.2053         2.4013         1.8975         1.0000         2.1637         2.1645
         0.2067         2.4017         1.8978         1.0000         2.1640         2.1649
         0.2080         2.4020         1.8980         1.0000         2.1643         2.1652
         0.2093         2.4024         1.8983         1.0000         2.1646         2.1655
         0.2107         2.4027         1.8986         1.0000         2.1650         2.1658
         0.2120         2.4031         1.8988         1.0000         2.1653         2.1661
         0.2133         2.4034         1.8991         1.0000         2.1656         2.1664
         0.2147         2.4037         1.8994         1.0000         2.1659         2.1667
         0.2160         2.4041         1.8996         1.0000         2.1662         2.1670
         0.2173         2.4044         1.8999         1.0000         2.1665         2.1673
         0.2187         2.4048         1.9002         1.0000         2.1668         2.1676
         0.2200         2.4051         1.9004         1.0000         2.1671         2.1679
         0.2213         2.4055         1.9007         1.0000         2.1674         2.1682
         0.2227         2.4058         1.9010         1.0000         2.1677         2.1685
         0.2240         2.4062         1.9012         1.0000         2.1680         2.1689
         0.2253         2.4065         1.9015         1.0000         2.1683         2.1692
         0.2267         2.4069         1.9018         1.0000         2.1686         2.1695
         0.2280         2.4072         1.9020         1.0000         2.1689         2.1698
         0.2293         2.4075         1.9023         1.0000         2.1693         2.1701
         0.2307         2.4079         1.9026         1.0000         2.1696         2.1704
         0.2320         2.4082         1.9028         1.0000         2.1699         2.1707
         0.2333         2.4086         1.9031         1.0000         2.1702         2.1710
         0.2347         2.4089         1.9034         1.0000         2.1705         2.1713
         0.2360         2.4093         1.9036         1.0000         2.1708         2.1717
         0.2373         2.4096         1.9039         1.0000         2.1711         2.1720
         0.2387         2.4100         1.9042         1.0000         2.1714         2.1723
         0.2400         2.4103         1.9044         1.0000         2.1717         2.1726
         0.2413         2.4107         1.9047         1.0000         2.1720         2.1729
